,CID,SID,Solubility_at_pH_7_4,target,Efficacy
2565,24747126,49645195,44.1,1,104.937
2629,24746812,49641344,41.4,1,115.784
2631,24746806,49641276,45.1,1,153.062
2641,24746775,49640699,33.7,1,161.216
2645,24746770,49640665,34.7,1,196.389
2648,24687981,49821906,9.5,1,175.306
2649,24687923,49828038,0.9,1,138.219
2664,24687540,49818200,47.9,1,113.508
2676,24687449,56321907,36.1,1,116.841
2685,24687012,56323292,7.8,1,149.175
2732,24685250,49826738,37.8,1,139.043
2735,24684677,49822401,21.9,1,153.104
2740,24684627,49822397,45.7,1,185.894
2779,24240615,49819983,42.5,1,159.305
2782,24240201,49819908,3.1,1,128.749
2787,24239431,49826750,50.3,1,178.251
2789,24239039,49822699,16.6,1,139.754
2814,23975044,24823194,4.7,1,152.315
2815,23961339,49649596,1.0,1,168.826
2819,23863715,24810750,5.8,1,131.619
2825,23724438,47204601,51.5,1,149.255
2829,23724403,47204308,41.5,1,135.98
2831,23724400,47204257,27.7,1,121.231
2835,23724389,47204067,45.2,1,164.356
2836,23724387,47204033,34.9,1,135.574
2838,23724372,47203854,7.4,1,169.206
2839,23724366,47203770,36.5,1,137.065
2840,23724365,47203768,48.6,1,160.679
2846,23724326,47202952,28.9,1,216.294
2850,23724316,47202728,33.9,1,164.118
2854,23724294,47202182,46.2,1,219.893
2855,23724291,47202173,15.2,1,181.47
2859,23724275,47202019,44.0,1,142.919
2863,23724255,47201645,40.5,1,145.875
2872,23724229,47201200,28.2,1,146.411
2878,23724197,47200747,48.2,1,155.29
2886,23724187,47200599,40.8,1,157.932
2887,23724185,47200591,55.4,1,164.682
2897,23724170,47200421,49.1,1,173.02
2900,23724162,47200359,24.9,1,178.779
2914,23723895,47199273,44.2,1,147.054
2967,23723420,47197186,49.4,1,127.907
2978,23723369,47197109,45.1,1,104.439
2998,23723163,47195805,49.7,1,183.401
3050,23606545,49649514,2.3,1,138.034
3081,22587966,49679162,26.9,1,182.497
3082,22582984,49719743,47.3,1,145.338
3083,22582983,49719737,35.4,1,155.506
3158,22510442,49670643,3.9,1,137.853
3200,22430391,49827467,15.0,1,120.71
3213,22427111,49715541,19.2,1,147.594
3231,22332706,49679477,35.5,1,155.741
3236,22332182,49679733,21.5,1,148.407
3248,21545164,49666920,34.6,1,136.249
3252,21205130,49669407,24.1,1,144.063
3276,20967419,49670569,30.8,1,122.285
3288,20956355,49670404,40.2,1,150.67
3289,20956349,49670290,31.1,1,134.558
3298,20953939,49670402,35.5,1,107.022
3301,20940117,49736292,24.4,1,137.288
3304,20940027,49735546,47.0,1,86.1777
3306,20939982,49736479,47.0,1,131.031
3318,20927613,49669902,8.8,1,133.725
3381,20899782,49670590,30.6,1,116.426
3397,20889013,49649694,27.6,1,137.997
3407,20887813,49678233,41.9,1,104.262
3408,20887719,49668067,40.1,1,170.46
3410,20887558,49649778,47.2,1,102.41
3470,20867000,49669703,40.7,1,120.298
3472,20866849,49669736,38.6,1,165.496
3504,20855127,49669033,30.2,1,146.756
3514,20848000,49646615,38.6,1,173.522
3532,20116602,56319057,33.9,1,89.5452
3533,20111252,49679637,22.1,1,164.368
3536,19807233,47203352,32.4,1,105.202
3538,19687026,49824180,25.5,1,131.969
3539,19687020,49824185,24.5,1,185.893
3541,19687015,49825881,26.5,1,130.568
3542,19687007,49825921,26.1,1,189.23
3545,19686655,49826947,3.1,1,139.438
3591,19578115,57266586,7.7,1,115.808
3635,18577474,51085845,16.3,1,109.344
3663,18558543,49676511,14.2,1,123.699
3664,18558490,49676842,29.4,1,108.266
3676,18273903,49826734,2.6,1,152.993
3678,18230215,56317156,0.7,1,125.749
3679,18204049,49729229,49.3,1,121.853
3691,18160218,56323890,47.0,1,92.9127
3708,18120596,56317130,48.4,1,98.55
3761,18106782,56324045,34.6,1,148.879
3765,18105311,56321511,10.0,1,117.646
3775,18079666,49828811,51.1,1,120.182
3778,18078013,56319959,43.0,1,136.536
3783,18077737,56323967,42.8,1,138.15
3803,17585776,49825183,48.7,1,192.042
3814,17583883,49646101,1.7,1,131.027
3819,17583658,49822947,29.6,1,110.031
3833,17582328,49646057,19.5,1,103.603
3844,17580014,49667859,42.4,1,191.847
3848,17578557,49667370,6.4,1,107.926
3849,17578417,49665034,40.4,1,126.031
3869,17572747,26666743,12.3,1,105.346
3871,17572608,26666744,3.8,1,108.29
3886,17497048,50086460,5.6,1,177.14
3912,17417564,56316203,27.2,1,101.732
3943,17385934,47202468,32.8,1,155.845
3961,17378931,49827489,2.3,1,148.434
3962,17378909,49823417,47.2,1,135.677
3973,17374362,49823702,36.5,1,159.207
3978,17369833,49665642,51.8,1,178.219
3979,17367818,49645174,49.7,1,145.005
3984,17325415,49670317,45.7,1,125.203
4001,17283667,49824104,48.1,1,128.115
4052,17253049,49715762,3.1,1,96.6713
4070,17201685,49718436,41.8,1,197.605
4138,17015159,49667148,38.0,1,159.945
4140,16958434,49828050,58.3,1,156.228
4160,16823242,49677581,43.1,1,110.097
4164,16823207,51090613,54.1,1,118.234
4211,16745961,26729175,10.4,1,133.577
4212,16745869,26726179,28.0,1,118.239
4214,16745845,26725901,35.8,1,131.454
4218,16745827,26725628,35.2,1,88.6156
4219,16682719,26671560,4.0,1,101.688
4222,16682699,26671372,56.0,1,148.166
4224,16682688,26671057,35.3,1,124.001
4231,16682543,26667328,33.9,1,76.8317
4234,16682515,26666689,43.0,1,148.976
4235,16682507,26666567,36.5,1,131.351
4238,16682490,26666187,71.3,1,75.4045
4250,16682443,26665543,20.2,1,112.699
4252,16682433,26665447,33.0,1,149.074
4276,16682319,26662885,36.5,1,128.12
4290,16682278,26662433,0.4,1,110.137
4317,16682208,26661240,35.7,1,140.291
4321,16682161,26661032,47.0,1,81.6952
4324,16682147,26660863,39.6,1,131.099
4325,16682143,26660804,55.6,1,144.4
4327,16682139,26660775,51.6,1,122.378
4333,16682095,26660525,52.0,1,105.121
4347,16682001,26659958,40.4,1,138.68
4348,16681998,26659944,44.5,1,122.992
4350,16681984,26659876,47.1,1,127.516
4352,16681932,26659674,39.7,1,128.322
4361,16681807,26659209,37.7,1,125.976
4363,16681803,26659183,0.5,1,121.56
4368,16681790,26658976,39.3,1,128.93
4372,16681775,26658762,39.4,1,116.136
4401,16557711,49827740,0.4,1,169.383
4406,16551195,49822910,2.9,1,195.325
4413,16548980,49823091,49.4,1,167.46
4423,16525183,56314907,46.1,1,119.204
4432,16495727,47202201,38.9,1,119.673
4433,16495307,47202183,47.5,1,171.391
4440,16463353,47201039,33.9,1,133.417
4441,16463337,26659465,41.4,1,147.504
4442,16462824,49667213,42.3,1,135.618
4443,16462823,49667131,49.0,1,173.357
4481,16442194,26665817,1.1,1,156.174
4506,16413771,49648929,39.5,1,150.581
4509,16413476,49666083,35.5,1,104.616
4512,16413182,49648935,42.5,1,184.322
4528,16410738,26659113,37.1,1,86.2387
4553,16386420,56321186,42.1,1,85.0846
4630,16327461,49680308,49.3,1,126.948
4663,16319272,49675613,27.8,1,164.867
4682,16314652,49675485,13.2,1,145.596
4706,16308175,49673923,0.3,1,159.51
4713,16307545,49680412,42.6,1,129.537
4732,16305869,57259658,3.4,1,150.562
4748,16304855,49680765,29.9,1,146.515
4751,16304770,49677437,36.2,1,158.059
4753,16304694,57259589,50.2,1,145.622
4770,16303960,49677872,4.1,1,171.875
4778,16303496,49677879,15.2,1,157.224
4785,16303108,57259419,41.7,1,118.265
4830,16298395,49675964,43.3,1,188.247
4843,16297509,57260416,38.8,1,136.657
4851,16296491,57259030,52.1,1,75.551
4857,16293812,49673484,0.4,1,91.2248
4897,16283582,49680868,5.5,1,134.708
4923,16278080,49822283,26.2,1,158.144
4932,16275931,49675915,5.4,1,120.104
4978,16249254,49734242,45.9,1,208.143
4984,16248606,49676968,45.3,1,157.207
4988,16247818,24828565,18.3,1,126.755
4993,16246434,49724880,47.4,1,104.301
4994,16245263,26670495,35.9,1,133.851
4997,16244991,49675133,35.9,1,139.436
5002,16243084,49724854,48.5,1,126.018
5010,16241713,47202161,49.4,1,114.198
5016,16241130,26657536,1.4,1,136.034
5022,16240846,24791872,41.3,1,98.9657
5023,16240777,49724797,42.9,1,136.49
5025,16240210,24836704,2.5,1,186.754
5028,16239597,24829700,3.2,1,124.453
5029,16239577,49673697,27.6,1,163.192
5043,16237934,49673642,13.6,1,174.66
5051,16236811,49674305,17.2,1,137.997
5052,16236791,49674179,29.0,1,139.424
5062,16227018,49675593,47.0,1,132.988
5073,16196882,24837644,32.4,1,125.508
5076,16196866,24837249,3.3,1,210.225
5081,16196824,24836710,12.0,1,148.595
5087,16196768,24836042,40.8,1,152.256
5090,16196753,24835721,46.9,1,118.538
5100,16196692,24834670,12.4,1,115.335
5101,16196691,24834669,50.8,1,143.539
5102,16196687,24834531,34.2,1,124.275
5113,16196271,24831012,41.8,1,142.341
5116,16196229,24830404,4.5,1,92.0722
5118,16196166,24829631,10.6,1,127.814
5123,16196092,24828642,45.3,1,139.945
5130,16196028,24827949,10.9,1,142.952
5133,16196016,24827751,41.0,1,127.47
5135,16196005,24827481,17.3,1,146.785
5138,16195991,24827226,27.2,1,111.371
5144,16195915,24825555,55.4,1,133.69
5145,16195906,24825432,44.1,1,152.073
5146,16195896,24825310,30.6,1,110.882
5153,16195582,24823814,1.2,1,210.024
5164,16195367,24823043,21.2,1,186.739
5169,16195263,24822392,39.6,1,128.458
5171,16195210,24821349,47.9,1,115.477
5174,16195190,24820955,49.9,1,140.164
5175,16195185,24820929,48.8,1,131.378
5177,16195172,24820811,41.3,1,113.132
5179,16195169,24820659,34.4,1,136.616
5184,16195120,24819174,39.1,1,99.1742
5187,16195079,24818264,42.0,1,145.949
5188,16195078,24818259,41.5,1,149.947
5189,16195067,24817762,49.1,1,104.508
5190,16195055,24817431,48.1,1,120.848
5208,16194920,24816447,48.4,1,162.184
5242,16194637,24815523,14.3,1,92.5648
5274,16194280,24814268,47.2,1,146.366
5281,16194246,24814147,41.5,1,106.648
5288,16194155,24813824,50.3,1,82.9601
5306,16194037,24813496,19.9,1,122.712
5328,16193803,24812809,5.7,1,97.9772
5332,16193787,24812769,20.3,1,124.327
5333,16193785,24812767,36.3,1,84.8138
5350,16193566,24812252,64.4,1,130.848
5361,16193439,24811840,44.3,1,75.7315
5378,16193306,24811376,40.9,1,172.315
5386,16193229,24810820,28.0,1,114.047
5389,16193212,24810761,1.0,1,145.118
5395,16193172,24810622,25.6,1,129.037
5398,16193144,24810566,10.6,1,167.618
5402,16193058,24810319,49.2,1,144.679
5404,16193053,24810304,33.9,1,101.75
5405,16193038,24810229,47.2,1,126.131
5407,16193014,24810155,8.8,1,124.378
5409,16192991,24809896,45.8,1,130.005
5411,16192982,24809760,45.8,1,128.409
5412,16192974,24809599,45.7,1,123.836
5421,16192925,24808653,48.9,1,104.031
5427,16192918,24808538,39.9,1,119.755
5433,16192895,24808267,14.7,1,98.9774
5436,16192869,24807887,50.8,1,130.677
5438,16192856,24807734,27.4,1,135.641
5440,16192845,24807580,7.8,1,130.416
5456,16192728,24805663,46.4,1,122.151
5457,16192727,24805643,4.7,1,128.334
5461,16192668,24804509,47.9,1,155.448
5470,16192627,24803644,45.3,1,136.276
5473,16192594,24802705,47.0,1,142.969
5484,16192065,24800396,39.0,1,135.574
5507,16191496,24799826,43.5,1,106.502
5536,16190973,24799302,47.5,1,104.875
5567,16190659,24798988,33.9,1,110.592
5654,16189723,24795962,43.1,1,157.13
5663,16189442,24789770,49.5,1,84.3333
5667,16189423,24789504,63.2,1,160.671
5671,16189374,24788858,43.1,1,111.105
5677,16189311,24788293,38.1,1,121.548
5682,16189285,24787428,52.7,1,130.856
5720,16188847,24785487,1.4,1,157.765
5728,16188811,24785383,4.5,1,103.04
5775,16188209,24783657,47.6,1,123.966
5788,16188098,24783207,53.0,1,221.837
5794,16188041,24783069,41.9,1,151.893
5795,16188038,24783062,48.5,1,163.058
5808,16187831,24782269,46.0,1,85.6378
5828,16187614,24781629,17.5,1,162.177
5844,16187399,24780662,42.8,1,91.5327
5856,16187271,24780229,35.7,1,111.686
5874,16027762,49670480,38.0,1,148.877
5879,16019302,49735377,50.9,1,141.257
5944,16003600,24813774,44.6,1,95.4377
5947,16003078,24811609,10.0,1,99.8065
5954,16001809,24782870,1.4,1,97.7443
5968,15999022,24810318,31.2,1,102.809
5970,15998745,49715770,1.6,1,154.378
6029,15945775,22414226,18.7,1,139.784
6030,15945766,22414129,31.5,1,137.938
6045,14197121,47200835,42.1,1,115.59
6053,13552280,49669531,50.9,1,147.746
6057,13413786,49649538,12.7,1,196.408
6062,13088271,49680165,22.1,1,137.518
6065,12905786,49666025,13.1,1,170.182
6066,12891828,24827712,15.7,1,148.039
6074,12655547,49670835,27.6,1,174.633
6075,12644971,24805262,39.0,1,110.413
6077,12539171,47196075,42.6,1,136.022
6096,12221201,47195859,31.1,1,128.531
6102,12006282,17517247,42.1,1,137.491
6103,12005893,17514788,21.0,1,216.331
6105,12005251,17510543,54.9,1,100.792
6108,11961672,56463766,32.8,1,138.519
6112,11957524,47195871,27.9,1,192.962
6115,11957207,17401924,41.6,1,180.357
6125,11909184,49665062,49.9,1,136.374
6128,11906735,26665455,33.2,1,125.432
6131,11899977,26660452,7.1,1,125.761
6165,11646094,49680120,26.8,1,162.565
6171,11277899,49679604,44.6,1,156.024
6176,10881409,24813096,46.4,1,154.063
6183,10140115,56322742,60.1,1,77.9567
6195,9754354,49673209,0.8,1,98.4633
6198,9723462,49821200,0.4,1,134.976
6224,9690830,49821568,4.5,1,128.752
6230,9689184,24815344,13.1,1,90.1622
6236,9688070,49671177,0.7,1,139.349
6239,9687094,26726376,37.1,1,137.191
6246,9685312,26725929,26.6,1,153.849
6248,9685277,26665857,11.9,1,101.914
6250,9685242,49646903,34.6,1,157.647
6277,9681936,26660280,10.3,1,100.132
6285,9679204,26724278,31.3,1,152.157
6295,9678052,24826031,19.5,1,139.957
6303,9677709,24833997,5.9,1,155.257
6314,9675633,24828856,2.9,1,135.388
6326,9671133,24836647,2.9,1,137.239
6328,9670741,24823534,13.9,1,151.536
6338,9669646,24829984,46.7,1,132.569
6340,9669493,24828505,6.7,1,175.473
6349,9667413,24840414,6.1,1,131.937
6355,9666713,26658579,3.7,1,121.752
6358,9666077,26666165,38.3,1,86.7045
6363,9665326,26724317,22.7,1,125.467
6368,9665112,26659957,38.6,1,86.1905
6374,9664067,49674031,6.9,1,147.812
6400,9660833,49674191,0.2,1,89.4323
6402,9660688,26671092,30.6,1,160.976
6409,9660639,26671093,53.6,1,82.3769
6415,9659716,47202631,29.2,1,98.9589
6417,9659399,26663167,12.0,1,96.6524
6425,9658712,26657529,0.6,1,120.632
6436,9657171,49647987,22.8,1,165.777
6438,9657080,24831137,16.1,1,166.579
6439,9657049,49670797,15.8,1,127.374
6442,9656285,24836461,32.5,1,143.605
6444,9655953,49827425,18.4,1,139.697
6446,9655904,24835827,0.4,1,120.301
6449,9655659,24827876,0.7,1,78.9693
6458,9655043,24817800,38.4,1,125.044
